fetched_at_utc,requested_date_ad,scrape_date_bs,commodity,unit,min_price,max_price,avg_price
2026-03-21T16:56:56.332104+00:00,,"चैत ०७, २०८२",हरियो धनिया,केजी,60.0,80.0,70.0
2026-03-21T16:56:56.332104+00:00,,"चैत ०७, २०८२",हरियो फर्सी(डल्लो),केजी,30.0,40.0,35.0
2026-03-21T18:15:02.138551+00:00,2026-02-13,"फाल्गुण ०१, २०८२",अंगुर(कालो),केजी,350.0,400.0,375.0
2026-03-21T18:15:02.138551+00:00,2026-02-13,"फाल्गुण ०१, २०८२",अंगुर(हरियो),केजी,200.0,250.0,225.0
2026-03-21T18:15:02.138551+00:00,2026-02-13,"फाल्गुण ०१, २०८२",अदुवा,केजी,100.0,120.0,110.0
2026-03-21T18:15:02.138551+00:00,2026-02-13,"फाल्गुण ०१, २०८२",अनार,केजी,290.0,330.0,310.0
2026-03-21T18:15:02.138551+00:00,2026-02-13,"फाल्गुण ०१, २०८२",अमला,केजी,90.0,100.0,95.0
2026-03-21T18:15:02.138551+00:00,2026-02-13,"फाल्गुण ०१, २०८२",आभोकाडो,केजी,250.0,350.0,300.0
2026-03-21T18:15:02.138551+00:00,2026-02-13,"फाल्गुण ०१, २०८२",आलु रातो,केजी,23.0,28.0,25.67
2026-03-21T18:15:02.138551+00:00,2026-02-13,"फाल्गुण ०१, २०८२",आलु रातो(भारतीय),केजी,24.0,25.0,24.5
2026-03-21T18:15:02.138551+00:00,2026-02-13,"फाल्गुण ०१, २०८२",इमली,केजी,170.0,180.0,175.0
2026-03-21T18:15:02.138551+00:00,2026-02-13,"फाल्गुण ०१, २०८२",काउली तराई,केजी,22.0,30.0,26.0
2026-03-21T18:15:02.138551+00:00,2026-02-13,"फाल्गुण ०१, २०८२",काउली स्थानिय,केजी,20.0,28.0,24.0
2026-03-21T18:15:02.138551+00:00,2026-02-13,"फाल्गुण ०१, २०८२",काक्रो(लोकल),केजी,120.0,160.0,141.43
2026-03-21T18:15:02.138551+00:00,2026-02-13,"फाल्गुण ०१, २०८२",काक्रो(हाइब्रीड),केजी,55.0,60.0,57.5
2026-03-21T18:15:02.138551+00:00,2026-02-13,"फाल्गुण ०१, २०८२",कागती,केजी,160.0,180.0,170.0
2026-03-21T18:15:02.138551+00:00,2026-02-13,"फाल्गुण ०१, २०८२",किनु,केजी,100.0,130.0,115.0
2026-03-21T18:15:02.138551+00:00,2026-02-13,"फाल्गुण ०१, २०८२",किवि,केजी,230.0,260.0,245.0
2026-03-21T18:15:02.138551+00:00,2026-02-13,"फाल्गुण ०१, २०८२",केरा,दर्जन,170.0,190.0,180.0
2026-03-21T18:15:02.138551+00:00,2026-02-13,"फाल्गुण ०१, २०८२",खुर्सानी हरियो(अकबरे),केजी,450.0,550.0,500.0
2026-03-21T18:15:02.138551+00:00,2026-02-13,"फाल्गुण ०१, २०८२",खुर्सानी हरियो(बुलेट),केजी,130.0,150.0,143.75
2026-03-21T18:15:02.138551+00:00,2026-02-13,"फाल्गुण ०१, २०८२",खुर्सानी हरियो(माछे),केजी,60.0,80.0,67.5
2026-03-21T18:15:02.138551+00:00,2026-02-13,"फाल्गुण ०१, २०८२",खु्र्सानी सुकेको,केजी,360.0,420.0,390.0
2026-03-21T18:15:02.138551+00:00,2026-02-13,"फाल्गुण ०१, २०८२",खु्र्सानी हरियो,केजी,130.0,150.0,142.5
2026-03-21T18:15:02.138551+00:00,2026-02-13,"फाल्गुण ०१, २०८२",गाजर(तराई),केजी,40.0,50.0,45.0
2026-03-21T18:15:02.138551+00:00,2026-02-13,"फाल्गुण ०१, २०८२",गाजर(लोकल),केजी,50.0,60.0,55.0
2026-03-21T18:15:02.138551+00:00,2026-02-13,"फाल्गुण ०१, २०८२",गान्टे मूला,केजी,40.0,50.0,45.0
2026-03-21T18:15:02.138551+00:00,2026-02-13,"फाल्गुण ०१, २०८२",गुन्दुक,केजी,280.0,300.0,290.0
2026-03-21T18:15:02.138551+00:00,2026-02-13,"फाल्गुण ०१, २०८२",गोलभेडा ठूलो(भारतीय),केजी,60.0,70.0,65.0
2026-03-21T18:15:02.138551+00:00,2026-02-13,"फाल्गुण ०१, २०८२",गोलभेडा सानो(टनेल),केजी,35.0,45.0,40.0
2026-03-21T18:15:02.138551+00:00,2026-02-13,"फाल्गुण ०१, २०८२",गोलभेडा सानो(तराई),केजी,32.0,42.0,37.25
2026-03-21T18:15:02.138551+00:00,2026-02-13,"फाल्गुण ०१, २०८२",गोलभेडा सानो(भारतीय),केजी,25.0,38.0,31.5
2026-03-21T18:15:02.138551+00:00,2026-02-13,"फाल्गुण ०१, २०८२",गोलभेडा सानो(लोकल),केजी,20.0,26.0,22.75
2026-03-21T18:15:02.138551+00:00,2026-02-13,"फाल्गुण ०१, २०८२",ग्याठ कोबी,केजी,50.0,60.0,55.0
2026-03-21T18:15:02.138551+00:00,2026-02-13,"फाल्गुण ०१, २०८२",घिउ सिमी(राजमा),केजी,110.0,120.0,115.0
2026-03-21T18:15:02.138551+00:00,2026-02-13,"फाल्गुण ०१, २०८२",घिउ सिमी(लोकल),केजी,110.0,130.0,122.5
2026-03-21T18:15:02.138551+00:00,2026-02-13,"फाल्गुण ०१, २०८२",घिउ सिमी(हाइब्रीड),केजी,90.0,100.0,95.0
2026-03-21T18:15:02.138551+00:00,2026-02-13,"फाल्गुण ०१, २०८२",घिरौला,केजी,135.0,145.0,140.0
2026-03-21T18:15:02.138551+00:00,2026-02-13,"फाल्गुण ०१, २०८२",चमसूरको साग,केजी,20.0,30.0,25.0
2026-03-21T18:15:02.138551+00:00,2026-02-13,"फाल्गुण ०१, २०८२",चुकुन्दर,केजी,55.0,65.0,60.0
2026-03-21T18:15:02.138551+00:00,2026-02-13,"फाल्गुण ०१, २०८२",च्याउ(कन्य),केजी,80.0,100.0,90.0
2026-03-21T18:15:02.138551+00:00,2026-02-13,"फाल्गुण ०१, २०८२",च्याउ(डल्ले),केजी,340.0,380.0,362.5
2026-03-21T18:15:02.138551+00:00,2026-02-13,"फाल्गुण ०१, २०८२",छ्यापी सुकेको,केजी,130.0,150.0,140.0
2026-03-21T18:15:02.138551+00:00,2026-02-13,"फाल्गुण ०१, २०८२",छ्यापी हरियो,केजी,140.0,160.0,150.0
2026-03-21T18:15:02.138551+00:00,2026-02-13,"फाल्गुण ०१, २०८२",जिरीको साग,केजी,50.0,60.0,55.0
2026-03-21T18:15:02.138551+00:00,2026-02-13,"फाल्गुण ०१, २०८२",जुनार,केजी,100.0,130.0,115.0
2026-03-21T18:15:02.138551+00:00,2026-02-13,"फाल्गुण ०१, २०८२",टाटे सिमी,केजी,70.0,80.0,75.0
2026-03-21T18:15:02.138551+00:00,2026-02-13,"फाल्गुण ०१, २०८२",तरबुजा(हरियो),केजी,80.0,90.0,85.0
2026-03-21T18:15:02.138551+00:00,2026-02-13,"फाल्गुण ०१, २०८२",तरुल,केजी,50.0,60.0,55.0
2026-03-21T18:15:02.138551+00:00,2026-02-13,"फाल्गुण ०१, २०८२",ताजा माछा(छडी),केजी,230.0,250.0,240.0
2026-03-21T18:15:02.138551+00:00,2026-02-13,"फाल्गुण ०१, २०८२",ताजा माछा(बचुवा),केजी,260.0,280.0,270.0
2026-03-21T18:15:02.138551+00:00,2026-02-13,"फाल्गुण ०१, २०८२",ताजा माछा(रहु),केजी,320.0,340.0,330.0
2026-03-21T18:15:02.138551+00:00,2026-02-13,"फाल्गुण ०१, २०८२",तामा,केजी,110.0,130.0,120.0
2026-03-21T18:15:02.138551+00:00,2026-02-13,"फाल्गुण ०१, २०८२",तितो करेला,केजी,170.0,200.0,185.0
2026-03-21T18:15:02.138551+00:00,2026-02-13,"फाल्गुण ०१, २०८२",तोफु,केजी,130.0,150.0,140.0
2026-03-21T18:15:02.138551+00:00,2026-02-13,"फाल्गुण ०१, २०८२",तोरीको साग,केजी,15.0,25.0,20.0
2026-03-21T18:15:02.138551+00:00,2026-02-13,"फाल्गुण ०१, २०८२",नासपाती(चाइनिज),केजी,220.0,250.0,235.0
2026-03-21T18:15:02.138551+00:00,2026-02-13,"फाल्गुण ०१, २०८२",निबुवा,केजी,55.0,65.0,60.0
2026-03-21T18:15:02.138551+00:00,2026-02-13,"फाल्गुण ०१, २०८२",पार्सले,केजी,350.0,400.0,375.0
2026-03-21T18:15:02.138551+00:00,2026-02-13,"फाल्गुण ०१, २०८२",पालूगो साग,केजी,20.0,40.0,30.0
2026-03-21T18:15:02.138551+00:00,2026-02-13,"फाल्गुण ०१, २०८२",पिंडालू,केजी,55.0,65.0,60.0
2026-03-21T18:15:02.138551+00:00,2026-02-13,"फाल्गुण ०१, २०८२",पुदीना,केजी,300.0,350.0,325.0
2026-03-21T18:15:02.138551+00:00,2026-02-13,"फाल्गुण ०१, २०८२",प्याज सुकेको (भारतीय),केजी,36.0,38.0,37.0
2026-03-21T18:15:02.138551+00:00,2026-02-13,"फाल्गुण ०१, २०८२",प्याज हरियो,केजी,40.0,50.0,45.0
2026-03-21T18:15:02.138551+00:00,2026-02-13,"फाल्गुण ०१, २०८२",फर्सी पाकेको,केजी,45.0,55.0,50.0
2026-03-21T18:15:02.138551+00:00,2026-02-13,"फाल्गुण ०१, २०८२",फर्सी हरियो(लाम्चो),केजी,15.0,25.0,20.0
2026-03-21T18:15:02.138551+00:00,2026-02-13,"फाल्गुण ०१, २०८२",बकूला,केजी,50.0,60.0,55.0
2026-03-21T18:15:02.138551+00:00,2026-02-13,"फाल्गुण ०१, २०८२",बन्दा(तराई),केजी,20.0,30.0,26.25
2026-03-21T18:15:02.138551+00:00,2026-02-13,"फाल्गुण ०१, २०८२",बन्दा(नरिवल),केजी,30.0,40.0,35.25
2026-03-21T18:15:02.138551+00:00,2026-02-13,"फाल्गुण ०१, २०८२",बन्दा(लोकल),केजी,45.0,50.0,47.5
